No,Ref,V,BV,UB
7300,240,16.296,0.785,0.28
7301,240,15.531,0.693,0.096
7302,240,15.325,0.681,0.108
7303,240,15.786,0.59,0.107
7306,240,15.795,0.702,0.566
7307,240,15.141,0.957,0.589
7308,240,15.229,0.688,0.166
7309,240,14.914,0.708,0.15
7310,240,15.91,0.786,0.363
7311,240,15.591,0.701,0.137
7313,240,13.794,0.633,0.073
7315,240,15.744,0.744,0.159
7316,240,15.748,0.692,0.163
7317,240,14.761,0.538,-0.058
7319,240,12.961,1.207,1.097
7321,240,15.055,0.708,0.15
7322,240,15.226,0.616,0.046
7324,240,15.256,1.121,0.947
7326,240,15.809,0.601,0.009
7327,240,12.761,0.475,-0.041
7328,240,16.305,0.604,-0.046
7330,240,12.86,1.112,1.066
7336,240,11.568,1.314,1.475
7337,240,15.314,0.725,0.189
7338,240,15.819,0.719,0.241
7339,240,15.938,0.647,0.094
7340,240,15.718,0.707,0.144
7343,240,13.362,0.545,0.01
7345,240,15.368,0.695,0.106
7346,240,15.165,0.675,0.137
7347,240,16.067,0.703,0.122
7351,240,15.618,0.668,0.126
7352,240,14.385,0.546,-0.027
7354,240,15.894,0.837,0.439
7355,240,14.937,0.606,0.034
7356,240,15.515,0.699,0.125
7358,240,15.549,0.799,0.168
7359,240,15.558,0.695,0.1
7361,240,15.694,1.033,0.725
7466,240,15.857,0.703,0.151
7467,240,14.957,1.087,0.73
