logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.601,1.355,-0.042,,,,9.65,2.649,1.39,-0.009,,,,9.7,2.683,0.826,-0.744
9.6,2.609,1.528,0.183,,,,9.65,2.657,1.564,0.217,,,,9.7,2.682,0.877,-0.675
9.6,2.611,1.574,0.243,,,,9.65,2.665,1.728,0.43,,,,9.7,2.682,0.938,-0.595
9.6,2.821,1.886,0.837,,,,9.65,2.86,1.91,0.856,,,,9.7,2.683,1.02,-0.488
9.6,2.815,1.866,0.812,,,,9.65,2.855,1.892,0.832,,,,9.7,2.685,1.117,-0.365
9.6,2.81,1.857,0.801,,,,9.65,2.85,1.883,0.821,,,,9.7,2.689,1.235,-0.214
9.6,2.805,1.855,0.8,,,,9.65,2.845,1.881,0.82,,,,9.7,2.694,1.375,-0.04
9.6,2.801,1.855,0.802,,,,9.65,2.84,1.881,0.822,,,,9.7,2.702,1.536,0.165
9.6,2.796,1.855,0.803,,,,9.65,2.835,1.881,0.824,,,,9.7,2.712,1.719,0.405
9.6,2.791,1.854,0.805,,,,9.65,2.831,1.881,0.826,,,,9.7,2.717,1.868,0.598
9.6,2.787,1.854,0.807,,,,9.65,2.826,1.881,0.828,,,,9.7,2.897,1.934,0.874
9.6,2.782,1.854,0.808,,,,9.65,2.822,1.881,0.829,,,,9.7,2.892,1.917,0.851
9.6,2.778,1.853,0.809,,,,9.65,2.818,1.88,0.831,,,,9.7,2.888,1.909,0.841
9.6,2.774,1.852,0.809,,,,9.65,2.814,1.88,0.831,,,,9.7,2.882,1.906,0.84
9.6,2.77,1.851,0.81,,,,9.65,2.809,1.879,0.832,,,,9.7,2.877,1.906,0.841
9.6,2.765,1.85,0.809,,,,9.65,2.805,1.878,0.832,,,,9.7,2.872,1.906,0.844
9.6,2.761,1.848,0.809,,,,9.65,2.801,1.876,0.832,,,,9.7,2.868,1.906,0.846
9.6,2.757,1.846,0.808,,,,9.65,2.797,1.875,0.831,,,,9.7,2.863,1.906,0.848
9.6,2.757,1.846,0.808,,,,9.65,2.797,1.875,0.831,,,,9.7,2.858,1.906,0.85
9.6,2.756,1.846,0.808,,,,9.65,2.793,1.873,0.83,,,,9.7,2.854,1.906,0.851
9.6,2.752,1.844,0.807,,,,9.65,2.79,1.871,0.83,,,,9.7,2.849,1.905,0.852
9.6,2.748,1.842,0.806,,,,9.65,2.786,1.869,0.828,,,,9.7,2.845,1.904,0.853
9.6,2.744,1.84,0.804,,,,9.65,2.783,1.867,0.827,,,,9.7,2.841,1.903,0.853
9.6,2.741,1.837,0.802,,,,9.65,2.779,1.865,0.824,,,,9.7,2.837,1.902,0.853
9.6,2.737,1.834,0.799,,,,9.65,2.776,1.862,0.822,,,,9.7,2.834,1.901,0.853
9.6,2.734,1.831,0.796,,,,9.65,2.773,1.859,0.818,,,,9.7,2.833,1.901,0.853
9.6,2.731,1.828,0.793,,,,9.65,2.772,1.858,0.817,,,,9.7,2.829,1.899,0.852
9.6,2.731,1.828,0.792,,,,9.65,2.772,1.857,0.817,,,,9.7,2.825,1.898,0.851
9.6,2.728,1.824,0.788,,,,9.65,2.769,1.854,0.813,,,,9.7,2.822,1.896,0.85
9.6,2.726,1.82,0.783,,,,9.65,2.767,1.849,0.808,,,,9.7,2.819,1.894,0.848
9.6,2.723,1.815,0.777,,,,9.65,2.765,1.845,0.802,,,,9.7,2.815,1.891,0.846
9.6,2.721,1.809,0.77,,,,9.65,2.762,1.839,0.795,,,,9.7,2.812,1.888,0.843
9.6,2.719,1.803,0.761,,,,9.65,2.76,1.833,0.787,,,,9.7,2.81,1.885,0.84
9.6,2.717,1.795,0.752,,,,9.65,2.758,1.826,0.777,,,,9.7,2.81,1.885,0.84
9.6,2.714,1.787,0.741,,,,9.65,2.756,1.817,0.766,,,,9.7,2.807,1.881,0.836
9.6,2.712,1.776,0.726,,,,9.65,2.754,1.807,0.752,,,,9.7,2.805,1.877,0.831
9.6,2.709,1.762,0.707,,,,9.65,2.752,1.796,0.737,,,,9.7,2.803,1.872,0.825
9.6,2.707,1.748,0.687,,,,9.65,2.75,1.783,0.719,,,,9.7,2.801,1.867,0.818
9.6,2.704,1.72,0.649,,,,9.65,2.747,1.753,0.677,,,,9.7,2.799,1.86,0.809
9.6,2.7,1.668,0.576,,,,9.65,2.743,1.701,0.604,,,,9.7,2.797,1.853,0.8
9.6,2.695,1.611,0.498,,,,9.65,2.739,1.648,0.531,,,,9.7,2.795,1.844,0.788
9.6,2.691,1.553,0.416,,,,9.65,2.736,1.595,0.458,,,,9.7,2.793,1.835,0.775
9.6,2.689,1.5,0.343,,,,9.65,2.735,1.54,0.381,,,,9.7,2.79,1.828,0.766
9.6,2.687,1.447,0.269,,,,9.65,2.734,1.488,0.306,,,,9.7,2.789,1.815,0.748
9.6,2.686,1.396,0.196,,,,9.65,2.734,1.438,0.236,,,,9.7,2.787,1.781,0.7
9.6,2.687,1.349,0.13,,,,9.65,2.735,1.392,0.17,,,,9.7,2.783,1.727,0.625
9.6,2.687,1.343,0.122,,,,9.65,2.729,1.374,0.144,,,,9.7,2.78,1.674,0.552
9.6,2.687,1.342,0.121,,,,9.65,2.729,1.373,0.143,,,,9.7,2.779,1.624,0.48
9.6,2.663,1.289,0.04,,,,9.65,2.714,1.34,0.093,,,,9.7,2.778,1.569,0.403
